,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,2.04376e+09,1.0,1.0
1,MuonExists,1.90866e+09,0.9338963479077779,0.9338963479077779
2,MuonPt>7GeV,7.48866e+08,0.39235170224136307,0.3664158218186088
3,abs(MuonEta)<1.5,5.88433e+08,0.7857654106342122,0.28791687869417154
4,MuonHLTRequirement,1.48003e+08,0.2515205639384603,0.07241701569655928
5,MuonQuality,1.43412e+08,0.9689803585062465,0.07017066583160449
6,HLT,1.43412e+08,1.0,0.07017066583160449
7,nCscRechitClusters>0,1.02938e+07,0.07177781496666946,0.005036697068148902
8,CscClusterSize>=50,6.37223e+06,0.6190357302453904,0.0031178954476063724
9,CscPassOverlapLeadMuon,5.76478e+06,0.9046723046719908,0.0028206736603123657
10,CscOverlapGenLLP,4.41127e+06,0.76521046770215,0.0021584090108427603
11,CscPassME1112Veto,2.56896e+06,0.5823629022934438,0.0012569773358907113
12,CscPassMB1Veto,2.55474e+06,0.9944646860986547,0.0012500195717696793
13,CscPassRB1Veto,2.5307e+06,0.990590040473786,0.0012382569381923514
14,CscPassRE12Veto,2.51438e+06,0.9935511913699767,0.0012302716561631503
15,CscPassMuonVeto,2.50244e+06,0.9952513144393449,0.0012244294829138452
16,CscPassClusterTime,2.49518e+06,0.9970988315404166,0.0012208772067170313
17,CscPassClusterTimeSpread,2.43335e+06,0.9752202245930154,0.0011906241437350765
18,CscPassClusterEta,1.30647e+06,0.5369018020424517,0.0006392482483266136
19,CscPassID,1.00938e+06,0.7726009782084549,0.000493883821975183
