,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,2713.4682603634783,0.0005211830125419107,0.0005211830125419107
1,MuonExists,2713.3779685108375,0.0005211569990108144,0.0005211569990108144
2,MuonPt>7GeV,1780.151678930759,0.0002891800672842986,0.00028915792715466897
3,abs(MuonEta)<1.5,1609.8478188946929,0.0006849293460893958,0.0002542264583777908
4,MuonHLTRequirement,1005.1069594824224,0.00045721515877366584,0.00014557355165191777
5,MuonQuality,996.5520558405366,0.001389127838016877,0.00014418684626883225
6,HLT,996.5520558405366,0.00141910656255712,0.00014418684626883225
7,nCscRechitClusters>0,286.4245101243956,0.0003000860107717899,3.911711389898533e-05
8,CscClusterSize>=50,230.3193435211207,0.0036025087811544405,3.139350292995137e-05
9,CscPassOverlapLeadMuon,221.30521909796886,0.005785614049145085,3.0156558904828608e-05
10,CscOverlapGenLLP,195.40470823396248,0.005322506184856992,2.6607784627309805e-05
11,CscPassME1112Veto,149.00335566691106,0.004907445816935216,2.0267508054086215e-05
12,CscPassMB1Veto,148.48232218011677,0.009441442091280922,2.0196424882430702e-05
13,CscPassRB1Veto,147.72271321635003,0.009451525054694144,2.009279749631729e-05
14,CscPassRE12Veto,147.1427877947132,0.009517150967432365,2.0013686069860424e-05
15,CscPassMuonVeto,146.7174154625142,0.009569537745153926,1.9955659980308646e-05
16,CscPassClusterTime,146.22585270737866,0.009590655575586454,1.9888606516853634e-05
17,CscPassClusterTimeSpread,144.46452851824907,0.009497567138534694,1.9648362446550822e-05
18,CscPassClusterEta,108.15266986995744,0.006473549131115803,1.4700511551641328e-05
19,CscPassID,96.57121724406295,0.011068361010822406,1.3124207324011708e-05
