,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,1.90692e+09,1.0,1.0
1,MuonExists,1.78136e+09,0.9341556017032702,0.9341556017032702
2,MuonPt>7GeV,7.42026e+08,0.4165502761934702,0.3891227738971745
3,abs(MuonEta)<1.5,5.95929e+08,0.8031106726718471,0.31250865269649486
4,MuonHLTRequirement,1.36421e+08,0.22892156615972709,0.07153997021374782
5,MuonQuality,1.32324e+08,0.9699679668086292,0.06939147945377887
6,HLT,1.32324e+08,1.0,0.06939147945377887
7,nCscRechitClusters>0,1.2825e+07,0.09692119343429763,0.006725505002831792
8,CscClusterSize>=50,8.61571e+06,0.671790253411306,0.004518128710171375
9,CscPassOverlapLeadMuon,7.90528e+06,0.9175424892434866,0.004145575063453108
10,CscOverlapGenLLP,6.70061e+06,0.8476119757933938,0.0035138390703333125
11,CscPassME1112Veto,4.26362e+06,0.6363032619418232,0.0022358672623917102
12,CscPassMB1Veto,4.17526e+06,0.9792758266449637,0.002189530761647054
13,CscPassRB1Veto,4.12509e+06,0.9879839818358617,0.0021632213202441635
14,CscPassRE12Veto,4.07323e+06,0.9874281530827206,0.0021360256329578586
15,CscPassMuonVeto,3.97724e+06,0.9764339357217736,0.0020856879155916348
16,CscPassClusterTime,3.96619e+06,0.9972216914242037,0.0020798932309693116
17,CscPassClusterTimeSpread,3.8371e+06,0.9674523913377826,0.0020121976800285277
18,CscPassClusterEta,2.19394e+06,0.5717703473977743,0.001150514966542907
19,CscPassID,1.77098e+06,0.8072144178965697,0.0009287122689992239
