,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,2191.8667842731684,0.0006452096325014815,0.0006452096325014815
1,MuonExists,2191.7915046828703,0.0006451763934227635,0.0006451763934227635
2,MuonPt>7GeV,1487.0877580021968,0.0003740799924643174,0.0003740502477529616
3,abs(MuonEta)<1.5,1356.3849011250456,0.0008301671216625451,0.00033201465479598273
4,MuonHLTRequirement,811.2533513027851,0.0005138025211906279,0.00018005544718074747
5,MuonQuality,804.3077769113015,0.0017209377729325492,0.00017833044833976373
6,HLT,804.3077769113015,0.0017582990031551732,0.00017833044833976373
7,nCscRechitClusters>0,252.92093626269852,0.0004098416817095445,5.29942446511397e-05
8,CscClusterSize>=50,204.7266470198738,0.00411747621663068,4.27988658484047e-05
9,CscPassOverlapLeadMuon,196.9949237924673,0.006522626204057979,4.1169321022389435e-05
10,CscOverlapGenLLP,178.46568297574746,0.006205363250393015,3.7270158142234355e-05
11,CscPassME1112Veto,141.29048092493704,0.0056580674165729065,2.947033176213326e-05
12,CscPassMB1Veto,139.89281611290838,0.00986135490020148,2.9177618670234382e-05
13,CscPassRB1Veto,139.1078718117706,0.010024378653808355,2.9013243246291824e-05
14,CscPassRE12Veto,138.2316895650198,0.010070510595429292,2.88297747674924e-05
15,CscPassMuonVeto,136.67845477616433,0.010059118192120136,2.8504568373836572e-05
16,CscPassClusterTime,136.48809471891678,0.010325407851509085,2.84647149475387e-05
17,CscPassClusterTimeSpread,134.02984742213206,0.01008361410237642,2.7950118131603192e-05
18,CscPassClusterEta,101.3064657363981,0.007069113530056666,2.1109222291220974e-05
19,CscPassID,91.12079894294168,0.011941673659450702,1.898297033925476e-05
