,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,4.45864e+06,1.0,1.0
1,MuonExists,4.45832e+06,0.9999282292358208,0.9999282292358208
2,MuonPt>7GeV,1.9502e+06,0.4374293455830896,0.4373979509446827
3,abs(MuonEta)<1.5,1.59296e+06,0.8168187878166342,0.35727486408411535
4,MuonHLTRequirement,612384,0.38443149859381276,0.13734771140975724
5,MuonQuality,601693,0.9825419997909808,0.1349498950352574
6,HLT,601693,1.0,0.1349498950352574
7,nCscRechitClusters>0,45054,0.07487871721957876,0.010104875029156872
8,CscClusterSize>=50,27274,0.6053624539441559,0.006117111944449428
9,CscPassOverlapLeadMuon,24946,0.9146439832807802,0.005594979635045664
10,CscOverlapGenLLP,18322,0.7344664475266576,0.004109324816535984
11,CscPassME1112Veto,10442,0.569915948040607,0.0023419697486228986
12,CscPassMB1Veto,10380,0.994062440145566,0.002328064163063176
13,CscPassRB1Veto,10281,0.9904624277456647,0.0023058600828952326
14,CscPassRE12Veto,10207,0.9928022565898259,0.00228926309367879
15,CscPassMuonVeto,10163,0.9956892328793965,0.0022793946136041485
16,CscPassClusterTime,10132,0.9969497195709928,0.002272441820824287
17,CscPassClusterTimeSpread,9861,0.973253059613107,0.0022116609549100172
18,CscPassClusterEta,5280,0.535442652874962,0.0011842176089569914
19,CscPassID,4092,0.775,0.0009177686469416683
