,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,2749.5381430342077,0.0005143458605787745,0.0005143458605787745
1,MuonExists,2749.4381244174238,0.0005143177958389251,0.0005143177958389251
2,MuonPt>7GeV,1810.98315839767,0.00028686566514478276,0.0002868416379976284
3,abs(MuonEta)<1.5,1635.561065811974,0.000671976679938782,0.0002517281969325715
4,MuonHLTRequirement,1019.6126715571947,0.0004491537730063251,0.00014384485927300514
5,MuonQuality,1010.865965397985,0.0013692266967743469,0.00014246355444147177
6,HLT,1010.865965397985,0.0013990119469659951,0.00014246355444147177
7,nCscRechitClusters>0,283.4801580357962,0.0002881206015016937,3.769634317240063e-05
8,CscClusterSize>=50,224.74874860608233,0.0035690638098012607,2.9827979232583056e-05
9,CscPassOverlapLeadMuon,215.3160467777541,0.0059031786330179924,2.856830513041819e-05
10,CscOverlapGenLLP,187.6566012694464,0.005369277583632798,2.4880178529295265e-05
11,CscPassME1112Veto,142.68146340712937,0.005089884611246123,1.8898703916892248e-05
12,CscPassMB1Veto,142.11263138792413,0.00985250954737561,1.8823158807457035e-05
13,CscPassRB1Veto,141.44256784999345,0.009881114204075574,1.873417249045422e-05
14,CscPassRE12Veto,140.86163423728976,0.009937006875379939,1.86570255699467e-05
15,CscPassMuonVeto,140.43503836293846,0.009994185496571282,1.860037600470843e-05
16,CscPassClusterTime,140.2355161861645,0.010048784907786103,1.8573881026329314e-05
17,CscPassClusterTimeSpread,138.30762813380903,0.009877793878852138,1.8317887632324746e-05
18,CscPassClusterEta,102.73752965688828,0.006690397623932963,1.3599175689007387e-05
19,CscPassID,90.76342875850384,0.01147417830051991,1.2012347580869942e-05
