,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,2142.909237462007,0.0006599502851777541,0.0006599502851777541
1,MuonExists,2142.8439047210136,0.0006599201048421299,0.0006599201048421299
2,MuonPt>7GeV,1481.414864242964,0.0003922146910821146,0.0003921869092057755
3,abs(MuonEta)<1.5,1355.5699908156716,0.0008372607465825267,0.00034930403782299743
4,MuonHLTRequirement,793.5817538225032,0.0005004267443221425,0.000184285765358419
5,MuonQuality,786.6918075078703,0.001758939938261521,0.0001824952224862034
6,HLT,786.6918075078703,0.0017976716534688802,0.0001824952224862034
7,nCscRechitClusters>0,232.5919173144243,0.00039190678560089475,5.0948373253255385e-05
8,CscClusterSize>=50,184.03803954617644,0.004337990231943443,4.022497619654795e-05
9,CscPassOverlapLeadMuon,176.43412368360038,0.0072162758683284815,3.8551570768318884e-05
10,CscOverlapGenLLP,156.40971836813722,0.006714691051692544,3.415151324895033e-05
11,CscPassME1112Veto,123.3369368842927,0.006420456340085192,2.690318844731743e-05
12,CscPassMB1Veto,122.24974437601087,0.01131520828303584,2.6665269084126803e-05
13,CscPassRB1Veto,121.59769734661919,0.011475886130949244,2.6522586065843887e-05
14,CscPassRE12Veto,120.90492132250036,0.011531110476558148,2.637099863470928e-05
15,CscPassMuonVeto,119.45710527214361,0.011487850838821697,2.605422621522485e-05
16,CscPassClusterTime,119.28118040998756,0.011812536396352985,2.6015737467596604e-05
17,CscPassClusterTimeSpread,116.97435616407556,0.011514963802274788,2.551109987110222e-05
18,CscPassClusterEta,86.4175908018732,0.007852277095446558,1.8834212115528317e-05
19,CscPassID,76.909037180295,0.013786297610289003,1.6759048059724637e-05
