,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,4.81065e+06,1.0,1.0
1,MuonExists,4.81036e+06,0.9999397170860487,0.9999397170860487
2,MuonPt>7GeV,2.24475e+06,0.46664906576638754,0.4666209348009105
3,abs(MuonEta)<1.5,1.87036e+06,0.8332152800980065,0.38879569288973426
4,MuonHLTRequirement,663445,0.35471513505421415,0.13791171671187885
5,MuonQuality,652415,0.9833746580349539,0.1356188872605573
6,HLT,652415,1.0,0.1356188872605573
7,nCscRechitClusters>0,60052,0.09204570710360736,0.012483136374502405
8,CscClusterSize>=50,38505,0.6411942982748284,0.008004115867918056
9,CscPassOverlapLeadMuon,35576,0.9239319568887158,0.007395258437009552
10,CscOverlapGenLLP,28483,0.8006240161906903,0.005920821510606675
11,CscPassME1112Veto,17924,0.6292876452620861,0.0037258998264267824
12,CscPassMB1Veto,17606,0.9822584244588262,0.003659796493197385
13,CscPassRB1Veto,17450,0.9911393843008065,0.003627368442933907
14,CscPassRE12Veto,17242,0.9880802292263611,0.003584131042582603
15,CscPassMuonVeto,16894,0.9798167265978425,0.0035117915458409985
16,CscPassClusterTime,16861,0.9980466437788564,0.0035049317659775706
17,CscPassClusterTimeSpread,16240,0.9631694442796987,0.0033758431812748796
18,CscPassClusterEta,9030,0.5560344827586207,0.0018770852171743943
19,CscPassID,7325,0.8111849390919158,0.0015226632575639466
