,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,5.70812e+06,1.0,1.0
1,MuonExists,5.70769e+06,0.9999246687175463,0.9999246687175463
2,MuonPt>7GeV,2.47544e+06,0.4337026012274668,0.4336699298543128
3,abs(MuonEta)<1.5,2.01899e+06,0.8156085382800633,0.3537048975844937
4,MuonHLTRequirement,784976,0.3887963783872134,0.13751918319867137
5,MuonQuality,771424,0.9827357779091336,0.13514502147817495
6,HLT,771424,1.0,0.13514502147817495
7,nCscRechitClusters>0,60508,0.07843676110673248,0.01060033776444784
8,CscClusterSize>=50,38014,0.6282475044622199,0.006659635746970981
9,CscPassOverlapLeadMuon,34902,0.9181354237912348,0.006114447488840459
10,CscOverlapGenLLP,26571,0.7613030771875537,0.004654947688555952
11,CscPassME1112Veto,15388,0.5791276203379624,0.0026958087776711073
12,CscPassMB1Veto,15262,0.9918118014036912,0.0026737349600218637
13,CscPassRB1Veto,15116,0.9904337570436378,0.002648157361793375
14,CscPassRE12Veto,14998,0.9921937020375761,0.0026274850563758295
15,CscPassMuonVeto,14912,0.9942659021202827,0.002612418799885076
16,CscPassClusterTime,14869,0.9971164163090128,0.002604885671639699
17,CscPassClusterTimeSpread,14446,0.9715515502051247,0.0025307807123886674
18,CscPassClusterEta,7955,0.5506714661497992,0.001393628725394701
19,CscPassID,6182,0.7771213073538655,0.001083018577044631
