,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,2389.167218927968,0.0005919274093370744,0.0005919274093370744
1,MuonExists,2389.0772277178485,0.0005918939662439489,0.0005918939662439489
2,MuonPt>7GeV,1573.3531072203723,0.00033006187417632766,0.0003300332497107214
3,abs(MuonEta)<1.5,1420.9116791693987,0.0007734385024788439,0.0002896249617579415
4,MuonHLTRequirement,885.9887132463934,0.0005171461658255151,0.00016554438679755617
5,MuonQuality,878.3074632496299,0.0015755152674691952,0.0001639378189605601
6,HLT,878.3074632496299,0.0016101577426436504,0.0001639378189605601
7,nCscRechitClusters>0,245.98373929997894,0.0003311391995260739,4.332145396220372e-05
8,CscClusterSize>=50,194.97179283168117,0.004111678959905165,3.427046664811361e-05
9,CscPassOverlapLeadMuon,186.82076972328318,0.006806458793855426,3.28288564718954e-05
10,CscOverlapGenLLP,163.00613485387598,0.006198272740621422,2.8623274717552773e-05
11,CscPassME1112Veto,124.04837765968566,0.005866671951528017,2.1761187654706716e-05
12,CscPassMB1Veto,123.5394673778384,0.0113304640607079,2.1671673515244694e-05
13,CscPassRB1Veto,122.94714311442947,0.011365298764057159,2.15674910782301e-05
14,CscPassRE12Veto,122.46632190116595,0.011435247606742397,2.1482923549545093e-05
15,CscPassMuonVeto,122.11470017978998,0.011498101289360381,2.1421081461124864e-05
16,CscPassClusterTime,121.93850909372314,0.011555977205438264,2.139009406602303e-05
17,CscPassClusterTimeSpread,120.19151384353223,0.011350006554779486,2.1082862119493832e-05
18,CscPassClusterEta,89.19080670113932,0.007688336431441088,1.5636134926742072e-05
19,CscPassID,78.62569554541314,0.013175977768529657,1.3781816179111257e-05
