,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,2.00435e+09,1.0,1.0
1,MuonExists,1.87298e+09,0.9344575548182703,0.9344575548182703
2,MuonPt>7GeV,7.27185e+08,0.3882502749628934,0.3628034025993464
3,abs(MuonEta)<1.5,5.68473e+08,0.7817446729511748,0.2836196273105994
4,MuonHLTRequirement,1.44966e+08,0.2550094727454074,0.07232569162072493
5,MuonQuality,1.40522e+08,0.9693445359601561,0.07010851398208896
6,HLT,1.40522e+08,1.0,0.07010851398208896
7,nCscRechitClusters>0,1.06178e+07,0.07555969883719275,0.005297378202409758
8,CscClusterSize>=50,6.83257e+06,0.643501478649061,0.0034088707062139845
9,CscPassOverlapLeadMuon,6.19589e+06,0.906816907839949,0.0030912215930351487
10,CscOverlapGenLLP,4.91412e+06,0.7931257656285053,0.00245172749270337
11,CscPassME1112Veto,2.88364e+06,0.5868069969801307,0.00143869084740689
12,CscPassMB1Veto,2.86356e+06,0.9930365787685009,0.0014286726370144934
13,CscPassRB1Veto,2.83832e+06,0.9911857967006105,0.0014160800259435727
14,CscPassRE12Veto,2.81651e+06,0.9923158769976606,0.0014051986928430664
15,CscPassMuonVeto,2.80156e+06,0.9946920124551306,0.0013977399156833885
16,CscPassClusterTime,2.79296e+06,0.9969302817001956,0.0013934492478858483
17,CscPassClusterTimeSpread,2.72288e+06,0.9749083409715857,0.0013584852944844962
18,CscPassClusterEta,1.4979e+06,0.5501160535903161,0.0007473245690622895
19,CscPassID,1.16464e+06,0.7775151879297684,0.0005810562027589992
