,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,44769.967612228626,3.158844282895599e-05,3.158844282895599e-05
1,MuonExists,43277.93895277362,3.003119486868125e-05,3.003119486868125e-05
2,MuonPt>7GeV,26966.367942309174,1.6963802208295756e-05,1.5705996638223416e-05
3,abs(MuonEta)<1.5,23842.671830145213,4.37655855947076e-05,1.3477195719195999e-05
4,MuonHLTRequirement,12040.182722865962,2.3727213460459413e-05,6.2204653189263455e-06
5,MuonQuality,11854.197568793934,0.00011475374208250172,6.1180427943770785e-06
6,HLT,11854.197568793934,0.0001193006573549946,6.1180427943770785e-06
7,nCscRechitClusters>0,3258.4965858505975,2.4048622681315985e-05,1.6300126875742308e-06
8,CscClusterSize>=50,2613.918514414709,0.0003156040399689102,1.3063436920454871e-06
9,CscPassOverlapLeadMuon,2489.1544749171353,0.0005030628614159697,1.2437941329348097e-06
10,CscOverlapGenLLP,2216.781450662198,0.0004790982179260111,1.1073401646866286e-06
11,CscPassME1112Veto,1698.1283814835674,0.0004352981450465703,8.478307098682823e-07
12,CscPassMB1Veto,1692.2056612598835,0.0008284565524961643,8.448694258906658e-07
13,CscPassRB1Veto,1684.7314326028347,0.0008301953266339631,8.41132470811799e-07
14,CscPassRE12Veto,1678.2461082928212,0.0008345904084966799,8.378900037283e-07
15,CscPassMuonVeto,1673.7861273173464,0.0008393181037604118,8.356601779571142e-07
16,CscPassClusterTime,1671.215126786495,0.0008429734205558398,8.343747839322604e-07
17,CscPassClusterTimeSpread,1650.115147497289,0.0008302769993745667,8.238259763411495e-07
18,CscPassClusterEta,1223.8872497088937,0.0005596223043177165,6.108436574474655e-07
19,CscPassID,1079.1848775812234,0.0009605493674888124,5.385777761283313e-07
