,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,1.90478e+09,1.0,1.0
1,MuonExists,1.77896e+09,0.9339451275212886,0.9339451275212886
2,MuonPt>7GeV,6.80981e+08,0.3827972523272024,0.3575116286395279
3,abs(MuonEta)<1.5,5.35966e+08,0.7870498589534803,0.2813794768949695
4,MuonHLTRequirement,1.36654e+08,0.2549676658594015,0.07174266844464977
5,MuonQuality,1.32498e+08,0.969587425175992,0.06956078917250286
6,HLT,1.32498e+08,1.0,0.06956078917250286
7,nCscRechitClusters>0,1.05801e+07,0.07985101661911878,0.005554499732252543
8,CscClusterSize>=50,7.00042e+06,0.6616591525599947,0.0036751855857369356
9,CscPassOverlapLeadMuon,6.39809e+06,0.9139580196616774,0.0033589653398292717
10,CscOverlapGenLLP,5.15682e+06,0.8059936637340206,0.0027073047806045842
11,CscPassME1112Veto,3.04416e+06,0.5903172885615554,0.0015981688173962348
12,CscPassMB1Veto,3.02461e+06,0.9935778671291916,0.0015879051649009335
13,CscPassRB1Veto,2.99293e+06,0.9895259223503196,0.0015712733229034325
14,CscPassRE12Veto,2.97009e+06,0.9923686821943714,0.0015592824368168502
15,CscPassMuonVeto,2.95244e+06,0.9940574191354471,0.001550016274845389
16,CscPassClusterTime,2.934e+06,0.9937543184620179,0.0015403353668140152
17,CscPassClusterTimeSpread,2.87341e+06,0.9793490115882754,0.0015085259190037695
18,CscPassClusterEta,1.62058e+06,0.5639919120487504,0.0008507964174340344
19,CscPassID,1.29579e+06,0.7995840995199249,0.0006802832873087706
