,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,43643.785353701845,3.240354957554437e-05,3.240354957554437e-05
1,MuonExists,42177.71923658272,3.079359140729597e-05,3.079359140729597e-05
2,MuonPt>7GeV,26095.612658069556,1.724966115216319e-05,1.5962262712908672e-05
3,abs(MuonEta)<1.5,23150.939505773844,4.5446658830314345e-05,1.3758233621497959e-05
4,MuonHLTRequirement,11689.910179295648,2.4433754285099703e-05,6.353479200365659e-06
5,MuonQuality,11510.777558444956,0.0001182142808025393,6.249748997482073e-06
6,HLT,11510.777558444956,0.0001228599506151996,6.249748997482073e-06
7,nCscRechitClusters>0,3252.706565308343,2.5510412677820818e-05,1.7123907404774225e-06
8,CscClusterSize>=50,2645.83068241337,0.00032236155936381976,1.3915980758122987e-06
9,CscPassOverlapLeadMuon,2529.44460307001,0.0004998817475914694,1.3301741933818872e-06
10,CscOverlapGenLLP,2270.8632719738985,0.0004769784440272002,1.1938046145724506e-06
11,CscPassME1112Veto,1744.7521313928808,0.00042667152013348966,9.167178251658305e-07
12,CscPassMB1Veto,1739.1405923616412,0.0008066475489198952,9.13764760139237e-07
13,CscPassRB1Veto,1730.0086704985035,0.0008067773501235032,9.089591948946592e-07
14,CscPassRE12Veto,1723.3949054119894,0.0008127801686443333,9.054788541192435e-07
15,CscPassMuonVeto,1718.2665683763971,0.0008169392467382037,9.027802283313159e-07
16,CscPassClusterTime,1712.8922908344236,0.0008191902877942679,8.999522241438648e-07
17,CscPassClusterTimeSpread,1695.1135655170717,0.0008128302900765864,8.90597152988429e-07
18,CscPassClusterEta,1273.0200312642373,0.0005540575662340703,6.686134128713053e-07
19,CscPassID,1138.3277208255977,0.0009422863734815564,5.97819615735041e-07
