,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,1.97307e+09,1.0,1.0
1,MuonExists,1.84627e+09,0.9357346672951289,0.9357346672951289
2,MuonPt>7GeV,7.93463e+08,0.42976541892572595,0.40214640129341583
3,abs(MuonEta)<1.5,6.40772e+08,0.807563805747716,0.32475887829625916
4,MuonHLTRequirement,1.45356e+08,0.22684511807632043,0.07366996609344828
5,MuonQuality,1.41042e+08,0.970321142574094,0.0714835256731895
6,HLT,1.41042e+08,1.0,0.0714835256731895
7,nCscRechitClusters>0,1.27854e+07,0.09064959373803548,0.006479952561237057
8,CscClusterSize>=50,8.40463e+06,0.6573615217357298,0.004259671476430132
9,CscPassOverlapLeadMuon,7.70276e+06,0.9164900774930009,0.003903946641528177
10,CscOverlapGenLLP,6.37484e+06,0.8276046508004923,0.0032309243970056814
11,CscPassME1112Veto,4.06336e+06,0.6374058015573725,0.0020594099550446765
12,CscPassMB1Veto,3.98928e+06,0.9817687824854308,0.002021864404202588
13,CscPassRB1Veto,3.95198e+06,0.9906499418441423,0.002002959854440035
14,CscPassRE12Veto,3.90942e+06,0.9892307147303377,0.0019813894083838893
15,CscPassMuonVeto,3.82583e+06,0.9786183116677154,0.001939023957588935
16,CscPassClusterTime,3.81781e+06,0.9979037228522961,0.001934959225977791
17,CscPassClusterTimeSpread,3.68321e+06,0.9647441858028556,0.0018667406630276675
18,CscPassClusterEta,2.06533e+06,0.5607418528946219,0.001046759618259869
19,CscPassID,1.69035e+06,0.8184406366052882,0.0008567106083413158
