,Selections,N_events,Efficiency,Cum efficiency
0,Nocuts,43668.29513502903,3.2385362377902116e-05,3.2385362377902116e-05
1,MuonExists,42206.16068774794,3.078145037707169e-05,3.078145037707169e-05
2,MuonPt>7GeV,27240.154184585666,1.8200103673893497e-05,1.683632898798198e-05
3,abs(MuonEta)<1.5,24411.657051498983,4.4176299048729395e-05,1.4666141608546327e-05
4,MuonHLTRequirement,11679.940068339392,2.1727420870933926e-05,6.34033680187352e-06
5,MuonQuality,11503.21694136036,0.00011834983689706155,6.238141136465545e-06
6,HLT,11503.21694136036,0.00012294070168217234,6.238141136465545e-06
7,nCscRechitClusters>0,3581.200915893997,2.8345086066847877e-05,1.884307379302876e-06
8,CscClusterSize>=50,2935.252970358773,0.00029592322880795844,1.5427372006933275e-06
9,CscPassOverlapLeadMuon,2811.632977470566,0.0004518976199640443,1.4774898095985842e-06
10,CscOverlapGenLLP,2588.553650207003,0.0004450873978407465,1.3598355162023568e-06
11,CscPassME1112Veto,2064.8535056996175,0.000394191088835263,1.0840311004215292e-06
12,CscPassMB1Veto,2043.3452963216962,0.0006742429777355326,1.0727146691343736e-06
13,CscPassRB1Veto,2031.0317575065142,0.0006858665610753972,1.066236316340682e-06
14,CscPassRE12Veto,2018.2244671988296,0.0006897341946681211,1.0594984619065108e-06
15,CscPassMuonVeto,1994.3018828652798,0.0006883243235271739,1.046913633103727e-06
16,CscPassClusterTime,1991.5295629239351,0.0007076493240066032,1.0454552742445348e-06
17,CscPassClusterTimeSpread,1958.8517044431924,0.0006927557826105502,1.0282662683583945e-06
18,CscPassClusterEta,1481.195463131048,0.0004839536850343553,7.771942645558361e-07
19,CscPassID,1330.7817251525512,0.0008154304470784528,6.981937041936256e-07
